"# ""Tabelle f�r Zeitbereich: 01.01.2020 00:00 bis 01.01.2023 00:00""";;;;;;;;
"# ""Quelle""";;;;;;;;
Datum;Zeit;BOTT SO2 1H Mittelwert [痢/m設;BUCH SO2 1H Mittelwert [痢/m設;DATT SO2 1H Mittelwert [痢/m設;DUB2 SO2 1H Mittelwert [痢/m設;DWER SO2 1H Mittelwert [痢/m設;EVOG SO2 1H Mittelwert [痢/m設;WALS SO2 1H Mittelwert [痢/m設
05.01.2020;01:00;<10;<10;<10;<10;<10;<10;<10
05.01.2020;02:00;<10;<10;<10;21;<10;<10;<10
05.01.2020;03:00;<10;<10;<10;<10;<10;<10;
05.01.2020;04:00;<10;<10;<10;<10;<10;<10;<10
05.01.2020;05:00;<10;<10;<10;;<10;<10;<10
05.01.2020;06:00;<10;<10;<10;11;<10;<10;<10
05.01.2020;07:00;<10;<10;<10;<10;<10;<10;<10
05.01.2020;08:00;<10;<10;;<10;;<10;<10
05.01.2020;09:00;<10;<10;<10;<10;<10;<10;<10
05.01.2020;10:00;<10;<10;<10;<10;<10;<10;<10
05.01.2020;11:00;<10;<10;<10;<10;<10;<10;<10
05.01.2020;12:00;<10;<10;<10;<10;<10;<10;<10
05.01.2020;13:00;<10;<10;<10;<10;<10;<10;<10
05.01.2020;14:00;<10;<10;<10;<10;<10;<10;<10
05.01.2020;15:00;<10;<10;<10;<10;<10;<10;<10
05.01.2020;16:00;<10;<10;<10;<10;<10;<10;<10
05.01.2020;17:00;<10;<10;<10;<10;<10;<10;<10
05.01.2020;18:00;<10;<10;<10;<10;<10;;<10
05.01.2020;19:00;<10;;<10;<10;<10;<10;<10
05.01.2020;20:00;<10;<10;<10;<10;<10;<10;<10
05.01.2020;21:00;;<10;<10;<10;<10;<10;<10
05.01.2020;22:00;<10;<10;<10;<10;<10;<10;<10
05.01.2020;23:00;<10;<10;<10;<10;<10;<10;<10
05.01.2020;24:00:00;<10;<10;<10;<10;<10;<10;<10
06.01.2020;01:00;<10;<10;<10;<10;<10;<10;<10
06.01.2020;02:00;<10;<10;<10;<10;<10;<10;<10
06.01.2020;03:00;<10;<10;<10;<10;<10;<10;<10
06.01.2020;04:00;<10;<10;<10;<10;<10;<10;
06.01.2020;05:00;<10;<10;<10;<10;<10;<10;<10
06.01.2020;06:00;<10;<10;<10;;<10;<10;<10
06.01.2020;07:00;19;<10;<10;<10;<10;<10;<10
06.01.2020;08:00;<10;<10;<10;<10;<10;<10;<10
06.01.2020;09:00;;<10;;<10;;<10;56
06.01.2020;10:00;;<10;<10;<10;<10;<10;122
06.01.2020;11:00;<10;<10;<10;<10;<10;;18
06.01.2020;12:00;10;<10;<10;<10;<10;;17
06.01.2020;13:00;22;<10;<10;17;<10;;27
06.01.2020;14:00;<10;<10;<10;18;<10;;21
06.01.2020;15:00;13;<10;<10;18;<10;<10;16
06.01.2020;16:00;<10;<10;<10;<10;<10;<10;<10
06.01.2020;17:00;<10;<10;<10;<10;<10;<10;<10
06.01.2020;18:00;<10;<10;<10;<10;<10;<10;<10
06.01.2020;19:00;<10;<10;<10;<10;<10;<10;<10
06.01.2020;20:00;<10;;<10;<10;<10;<10;<10
06.01.2020;21:00;28;<10;<10;<10;<10;<10;<10
06.01.2020;22:00;42;<10;<10;11;<10;<10;46
06.01.2020;23:00;31;<10;<10;11;<10;<10;42
06.01.2020;24:00:00;<10;<10;<10;<10;<10;<10;10
07.01.2020;01:00;<10;<10;<10;<10;<10;<10;10
07.01.2020;02:00;<10;<10;<10;<10;<10;<10;<10
07.01.2020;03:00;<10;<10;<10;<10;<10;<10;<10
07.01.2020;04:00;<10;<10;<10;<10;<10;<10;<10
07.01.2020;05:00;<10;<10;<10;<10;<10;<10;
07.01.2020;06:00;<10;<10;<10;14;<10;<10;<10
07.01.2020;07:00;<10;<10;<10;;<10;<10;<10
07.01.2020;08:00;<10;<10;<10;<10;<10;<10;<10
07.01.2020;09:00;<10;<10;10;<10;<10;<10;<10
07.01.2020;10:00;<10;<10;;<10;;<10;
07.01.2020;11:00;;<10;<10;<10;<10;<10;
07.01.2020;12:00;<10;<10;<10;<10;<10;<10;<10
07.01.2020;13:00;<10;<10;<10;;<10;<10;<10
07.01.2020;14:00;<10;<10;<10;;<10;<10;<10
07.01.2020;15:00;<10;<10;<10;;<10;;<10
07.01.2020;16:00;<10;<10;<10;<10;<10;<10;<10
07.01.2020;17:00;14;<10;<10;<10;<10;<10;24
07.01.2020;18:00;16;<10;<10;<10;<10;<10;34
07.01.2020;19:00;13;<10;<10;<10;<10;<10;17
07.01.2020;20:00;29;<10;<10;<10;<10;<10;56
07.01.2020;21:00;39;<10;<10;11;<10;<10;24
07.01.2020;22:00;36;<10;<10;<10;<10;<10;19
07.01.2020;23:00;41;<10;<10;17;<10;<10;26
07.01.2020;24:00:00;42;<10;<10;15;<10;<10;28
08.01.2020;01:00;45;<10;<10;11;<10;<10;49
08.01.2020;02:00;39;<10;<10;12;<10;<10;29
08.01.2020;03:00;39;<10;<10;<10;<10;<10;16
08.01.2020;04:00;51;<10;<10;<10;<10;<10;21
08.01.2020;05:00;44;<10;<10;11;<10;<10;47
08.01.2020;06:00;59;<10;<10;<10;<10;<10;
08.01.2020;07:00;63;<10;<10;<10;<10;<10;28
08.01.2020;08:00;35;<10;<10;<10;<10;<10;31
08.01.2020;09:00;52;<10;<10;<10;<10;<10;26
08.01.2020;10:00;55;<10;<10;<10;<10;<10;29
08.01.2020;11:00;34;<10;;<10;;<10;88
08.01.2020;12:00;;<10;<10;<10;<10;<10;66
08.01.2020;13:00;<10;<10;<10;<10;<10;<10;21
08.01.2020;14:00;15;<10;<10;<10;<10;<10;<10
08.01.2020;15:00;<10;<10;<10;<10;<10;<10;<10
08.01.2020;16:00;<10;<10;<10;;<10;;<10
08.01.2020;17:00;<10;<10;<10;<10;<10;<10;<10
08.01.2020;18:00;<10;<10;<10;<10;<10;<10;<10
08.01.2020;19:00;<10;<10;<10;<10;<10;<10;<10
08.01.2020;20:00;<10;<10;<10;<10;<10;<10;<10
08.01.2020;21:00;<10;<10;<10;<10;<10;<10;<10
08.01.2020;22:00;<10;<10;<10;<10;<10;<10;<10
08.01.2020;23:00;14;<10;<10;<10;<10;<10;<10
08.01.2020;24:00:00;<10;<10;<10;<10;<10;<10;<10
09.01.2020;01:00;<10;<10;<10;<10;<10;<10;<10
09.01.2020;02:00;<10;<10;<10;<10;<10;<10;<10
09.01.2020;03:00;<10;<10;<10;<10;<10;<10;<10
09.01.2020;04:00;<10;<10;<10;<10;<10;<10;<10
09.01.2020;05:00;<10;<10;<10;<10;<10;<10;<10
09.01.2020;06:00;<10;<10;<10;<10;<10;<10;<10
09.01.2020;07:00;<10;<10;<10;<10;<10;<10;
09.01.2020;08:00;<10;<10;<10;<10;<10;<10;<10
09.01.2020;09:00;30;<10;<10;<10;<10;<10;<10
09.01.2020;10:00;43;<10;<10;<10;<10;<10;13
09.01.2020;11:00;42;<10;<10;<10;<10;<10;11
09.01.2020;12:00;48;<10;;<10;;<10;16
09.01.2020;13:00;;<10;<10;<10;<10;<10;71
09.01.2020;14:00;58;<10;<10;<10;<10;<10;
09.01.2020;15:00;40;<10;<10;<10;<10;<10;
09.01.2020;16:00;41;<10;<10;<10;<10;<10;51
09.01.2020;17:00;29;<10;<10;;<10;;<10
09.01.2020;18:00;13;<10;<10;<10;<10;<10;36
09.01.2020;19:00;41;<10;<10;<10;<10;<10;109
09.01.2020;20:00;24;<10;<10;<10;<10;<10;123
09.01.2020;21:00;44;<10;<10;<10;<10;<10;135
09.01.2020;22:00;41;<10;<10;<10;<10;<10;113
